ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562136.688025 0.009999 15.190062 3.528172 1.448199 1335562136.688083 0.010000 15.702835 3.782657 1.599123 
1335562136.698023 0.009998 18.530774 3.530035 1.774937 1335562136.698078 0.009995 17.402223 4.179953 1.439626 
1335562136.708021 0.009998 15.170144 3.175963 1.452915 1335562136.708077 0.009999 17.613391 4.376642 1.762560 
1335562136.718023 0.010002 16.840981 3.525637 1.606446 1335562136.718078 0.010001 17.622238 4.397168 1.441819 
1335562136.728021 0.009998 16.844354 3.517825 1.857351 1335562136.728078 0.010000 17.608659 4.382328 1.600648 
1335562136.738024 0.010003 17.186767 3.857756 2.156926 1335562136.738083 0.010005 17.384806 4.163569 1.599847 
1335562136.748024 0.010000 16.851823 3.523258 1.605226 1335562136.748081 0.009998 17.418195 4.166448 1.600954 
1335562136.758026 0.010002 16.848609 3.524111 1.617125 1335562136.758083 0.010002 17.387142 4.155705 1.601869 
1335562136.768022 0.009996 16.840338 3.518580 1.613510 1335562136.768080 0.009997 17.409587 4.171524 1.601145 
1335562136.778019 0.009997 17.154686 3.834200 1.614882 1335562136.778075 0.009995 17.406803 4.172320 1.602977 
1335562136.788022 0.010003 17.191343 3.871484 1.587949 1335562136.788081 0.010006 17.415173 4.170797 1.601220 
1335562136.798027 0.010005 17.181965 3.846344 2.042131 1335562136.798086 0.010005 17.407683 4.178820 1.604423 
1335562136.808025 0.009998 17.164850 3.838321 1.599428 1335562136.808081 0.009995 17.423596 4.183007 1.601450 
1335562136.818026 0.010001 16.834958 3.522922 1.611176 1335562136.818084 0.010003 17.383545 4.167413 1.600153 
1335562136.828023 0.009997 16.849416 3.522824 1.608777 1335562136.828080 0.009996 17.426513 4.178028 1.599771 
1335562136.838023 0.010000 16.842667 3.523258 1.611330 1335562136.838080 0.010000 17.387407 4.158024 1.602174 
1335562136.848023 0.010000 16.873185 3.526310 1.593019 1335562136.848079 0.009999 17.390591 4.156895 1.600801 
1335562136.858017 0.009994 16.855766 3.529939 2.033685 1335562136.858076 0.009997 17.290532 4.053995 1.601145 
1335562136.868018 0.010001 16.857844 3.527499 2.160441 1335562136.868078 0.010002 17.130843 3.923816 1.600343 
1335562136.878027 0.010009 15.156571 3.170958 1.605298 1335562136.878087 0.010009 17.417403 4.186275 1.599200 
